#ARTIST:Fenster
#BPM:250
#COVER:free_song.png
#GAP:17450
#GENRE:Funk, Rap
#LANGUAGE:English
#MP3:Fenster - Free Software Song.ogg
#TITLE:Free Software Song
#DESCRIPTION:Inspired by Richard Stallman's "Free Software Song".
: 0 8 9 Join 
: 9 8 4 us 
: 18 8 2 now 
: 27 5 0 and 
: 42 5 2 share 
: 48 5 4 the 
: 54 7 2 soft
: 61 6 0 ware;
- 68
: 77 6 2 You'll 
: 84 6 4 be 
: 91 7 2 free, 
: 99 4 2 ha
: 103 7 0 ckers, 
: 113 6 2 you'll 
: 120 5 0 be 
: 126 6 -3 free.
- 133
: 143 7 9 Join 
: 152 9 4 us 
: 162 7 2 now 
: 170 10 0 and 
: 183 6 2 share 
: 190 5 4 the 
: 196 7 2 soft
: 203 8 0 ware;
- 212
: 219 5 2 You'll 
: 226 6 4 be 
: 233 7 2 free, 
: 241 5 2 ha
: 246 6 0 ckers, 
: 256 6 2 you'll 
: 263 6 0 be 
: 270 9 -3 free.
- 279
F 282 1 0 If 
F 284 1 0 you 
F 287 1 0 wan
F 289 1 0 na 
F 291 2 0 be 
F 294 4 0 free 
F 301 1 0 from 
F 303 1 0 the 
F 305 2 0 dir
F 307 1 0 ty 
F 309 2 0 mo
F 311 2 0 no
F 313 2 0 po
F 315 4 0 ly, 
- 319
F 323 1 0 come 
F 325 1 0 to 
F 327 1 0 our 
F 329 4 0 side 
F 334 1 0 you 
F 336 1 0 won't 
F 338 1 0 be
F 340 1 0 lieve 
F 342 1 0 what 
F 344 1 0 you 
F 346 5 0 see.
- 351
F 352 2 0 We 
F 354 2 0 got 
F 359 2 0 eve
F 361 2 0 ry
F 363 2 0 thing 
F 365 2 0 you 
F 367 3 0 need 
F 372 2 0 for 
F 374 2 0 your 
F 376 2 0 ? 
F 378 2 0 ? 
F 383 4 0 sta
F 387 4 0 tion.
- 391
F 394 1 0 Take 
F 396 1 0 it 
F 398 1 0 from 
F 400 3 0 me 
F 405 2 0 with 
F 408 2 0 no 
F 412 2 0 ma
F 414 2 0 ni
F 416 3 0 pu
F 419 4 0 la
F 423 6 0 tion.
- 429
F 430 2 0 Sign 
F 434 2 0 up? 
F 439 2 0 No 
F 443 2 0 boy! 
F 448 2 0 Down
F 452 2 0 load, 
F 456 2 0 en
F 461 3 0 joy!
- 464
F 464 2 0 It's 
F 466 2 0 ea
F 468 2 0 sy 
F 470 2 0 and 
F 472 2 0 safe, 
F 477 2 0 we're 
F 479 2 0 com
F 481 2 0 ing 
F 483 2 0 up 
F 485 2 0 for 
F 487 2 0 a 
F 490 4 0 play.
- 494
F 496 1 0 All 
F 498 1 0 you 
F 500 1 0 need 
F 502 1 0 is 
F 504 2 0 a 
F 507 4 0 will 
F 512 1 0 to 
F 514 1 0 break 
F 516 3 0 a
F 519 1 0 way 
F 521 1 0 from 
F 523 2 0 the 
F 526 4 0 pack.
- 530
F 532 2 0 ? 
F 534 2 0 ? 
F 536 2 0 ? 
F 538 2 0 ? 
F 540 2 0 ? 
F 543 5 0 friend 
F 549 2 0 and 
F 551 2 0 I 
F 553 2 0 know 
F 555 2 0 you'll 
F 557 2 0 be 
F 560 3 0 back. 
F 566 1 0 Come 
F 568 2 0 on!
- 570
: 572 8 9 Join 
: 581 8 4 us 
: 590 8 2 now 
: 599 9 0 and 
: 613 5 2 share 
: 619 5 4 the 
: 625 7 2 soft
: 632 6 0 ware;
- 639
: 649 6 2 You'll 
: 656 5 4 be 
: 662 7 2 free, 
: 670 5 2 ha
: 675 4 0 ckers, 
: 684 6 2 you'll 
: 691 6 0 be 
: 698 6 -3 free.
- 705
: 715 8 9 Join 
: 724 8 4 us 
: 733 8 2 now 
: 742 8 0 and 
: 755 5 2 share 
: 761 6 4 the 
: 768 6 2 soft
: 774 6 0 ware;
- 781
: 792 6 2 You'll 
: 799 5 4 be 
: 805 8 2 free, 
: 814 4 2 ha
: 818 6 0 ckers, 
: 827 6 2 you'll 
: 834 6 0 be 
: 841 7 -3 free.
- 848
F 855 1 0 If 
F 857 1 0 you 
F 859 1 0 wan
F 861 1 0 na 
F 863 1 0 be 
F 866 3 0 free 
F 872 1 0 from 
F 874 2 0 the 
F 877 2 0 dir
F 879 1 0 ty 
F 881 3 0 mo
F 884 2 0 no
F 886 2 0 po
F 888 5 0 ly,
- 893
F 895 1 0 come 
F 897 1 0 to 
F 899 1 0 our 
F 902 3 0 side, 
F 906 1 0 you 
F 908 2 0 won't 
F 911 2 0 be
F 913 1 0 lieve 
F 915 1 0 what 
F 917 1 0 you 
F 919 5 0 see.
- 924
F 924 1 0 We 
F 926 1 0 got 
F 931 2 0 eve
F 933 2 0 ry
F 935 1 0 thing 
F 937 1 0 you 
F 939 3 0 need 
F 944 1 0 for 
F 946 1 0 your 
F 948 2 0 ? 
F 950 4 0 ? 
F 954 5 0 sta
F 959 4 0 tion.
- 963
F 966 1 0 Take 
F 968 1 0 it 
F 970 1 0 from 
F 972 1 0 me 
F 978 1 0 with 
F 980 3 0 no 
F 985 2 0 ma
F 987 2 0 ni
F 989 2 0 pu
F 991 5 0 la
F 996 6 0 tion.
- 1002
F 1002 2 0 Sign 
F 1007 2 0 up? 
F 1011 2 0 No 
F 1016 2 0 boy! 
F 1020 2 0 Down
F 1025 2 0 load, 
F 1029 2 0 en
F 1033 2 0 joy!
- 1035
F 1036 1 0 It's 
F 1038 1 0 ea
F 1040 1 0 sy 
F 1042 1 0 and 
F 1044 4 0 safe, 
F 1050 1 0 we're 
F 1052 1 0 com
F 1054 1 0 ming 
F 1056 1 0 up 
F 1058 1 0 for 
F 1060 1 0 a 
F 1062 4 0 play.
- 1066
F 1069 1 0 All 
F 1071 1 0 you 
F 1073 1 0 need 
F 1075 1 0 is 
F 1077 1 0 a 
F 1079 4 0 will 
F 1084 1 0 to 
F 1086 1 0 break 
F 1088 1 0 a
F 1090 1 0 way 
F 1092 1 0 from 
F 1094 2 0 the 
F 1097 4 0 pack.
- 1101
F 1103 1 0 ? 
F 1105 1 0 ? 
F 1107 1 0 ? 
F 1109 3 0 ? 
F 1113 1 0 ? 
F 1115 6 0 friend 
F 1122 1 0 and 
F 1124 1 0 you 
F 1126 1 0 know 
F 1128 1 0 you'll 
F 1130 2 0 be 
F 1133 5 0 back.
- 1138
: 1145 8 9 Join 
: 1154 8 4 us 
: 1163 8 2 now 
: 1172 8 0 and 
: 1186 5 2 share 
: 1192 6 4 the 
: 1199 6 2 soft
: 1205 6 0 ware;
- 1212
: 1222 6 2 You'll 
: 1229 5 4 be 
: 1235 8 2 free, 
: 1245 4 2 ha
: 1249 6 0 ckers, 
: 1258 5 2 you'll 
: 1264 6 0 be 
: 1271 10 -3 free.
- 1282
: 1288 7 9 Join 
: 1296 8 4 us 
: 1305 8 2 now 
: 1314 9 0 and 
: 1328 5 2 share 
: 1334 6 4 the 
: 1341 6 2 soft
: 1347 6 0 ware;
- 1354
: 1364 6 2 You'll 
: 1371 6 4 be 
: 1378 7 2 free, 
: 1386 4 2 ha
: 1390 7 0 ckers, 
: 1400 6 2 you'll 
: 1407 5 0 be 
: 1413 10 -3 free.
- 1897
: 1997 7 9 Join 
: 2005 8 4 us 
: 2014 8 2 now 
: 2023 8 0 and 
: 2037 5 2 share 
: 2043 5 4 the 
: 2049 7 2 soft
: 2056 6 0 ware;
- 2063
: 2074 5 2 You'll 
: 2080 5 4 be 
: 2086 8 2 free, 
: 2095 4 2 ha
: 2099 6 0 ckers, 
: 2108 6 2 you'll 
: 2115 5 0 be 
: 2121 9 -3 free.
- 2131
: 2138 8 9 Join 
: 2147 8 4 us 
: 2156 8 2 now 
: 2165 9 0 and 
: 2179 5 2 share 
: 2185 5 4 the 
: 2191 7 2 soft
: 2198 6 0 ware;
- 2205
: 2216 4 2 You'll 
: 2221 6 4 be 
: 2228 7 2 free, 
: 2236 5 2 ha
: 2241 6 0 ckers, 
: 2250 6 2 you'll 
: 2257 6 0 be 
: 2264 8 -3 free.
- 2273
: 2280 9 9 Join 
: 2290 8 4 us 
: 2299 7 2 now 
: 2307 9 0 and 
: 2321 5 2 share 
: 2327 6 4 the 
: 2334 6 2 soft
: 2340 6 0 ware;
- 2347
: 2358 5 2 You'll 
: 2364 5 4 be 
: 2370 8 2 free, 
: 2379 4 2 ha
: 2383 7 0 ckers, 
: 2393 5 2 you'll 
: 2399 5 0 be 
: 2405 8 -3 free.
- 2414
: 2423 7 9 Join 
: 2431 8 4 us 
: 2440 8 2 now 
: 2449 9 0 and 
: 2463 5 2 share 
: 2469 6 4 the 
: 2475 4 2 soft
: 2482 6 0 ware;
- 2489
: 2500 4 2 You'll 
: 2505 6 4 be 
: 2512 7 2 free, 
: 2520 5 2 ha
: 2525 7 0 ckers, 
: 2534 6 2 you'll 
: 2541 6 0 be 
: 2548 10 -3 free.
E
